file_path,track_name,warmth,spatiality,distance,density,groundedness,timbral_warmth,timbral_brightness,timbral_depth,timbral_reverberance,rt60_estimate,stereo_correlation,stereo_width,dynamic_range_db,danceability,beat_strength,low_freq_ratio,rhythm_regularity,spectral_centroid,spectral_rolloff,spectral_bandwidth,spectral_flatness,pulse_clarity,tempo_confidence,key,key_name,mode,key_confidence,energy,onset_rate,spectral_flux_mean,rms_mean,cluster,name,artist,album,album_art,track_id,spotify_uri
audio/Slowdive - Alison.mp3,Slowdive - Alison,2.891715616842967,3.822880077189084,3.4928256796423733,6.807694543493684,4.040418686854705,45.581257771792686,64.34737500836962,62.02727891201892,1.0,10.894153521015022,0.7781138026282587,0.1109873383203996,26.774111652374263,,2.073524236679077,0.6172019686288153,0.9635140267257865,2387.1236363789144,5050.618826214659,2386.700301260807,0.0169273521751165,0.1474930495023727,0.3601630157921512,9,A,1,0.0629693576906069,0.8091103252158677,1.2462645100995546,46.32561874389648,0.1547888815402984,1,Alison,Slowdive,Souvlaki,https://i.scdn.co/image/ab67616d0000b273f6e31941d10e4819d290af41,33HRECrmuelZxOpid6XTNX,spotify:track:33HRECrmuelZxOpid6XTNX
audio/Judee Sill - The Kiss.mp3,Judee Sill - The Kiss,6.147532312854284,1.043892064613179,4.024277758421802,4.2180673176042855,2.0716113073400857,47.524288916269626,61.77681366857727,57.408798635239606,1.0,6.422222260362949,0.9977801897876528,0.0079861455560081,18.09156455993652,,2.2501657009124756,0.3330588549470116,0.9423042154048988,1443.297205891734,2640.7620357753817,1852.786574292163,0.0069643221795558,0.1025721281766891,0.1287219746799623,4,E,0,0.0945120074358225,0.3085559475046249,1.5016964563602295,15.027884483337402,0.0542538687586784,0,The Kiss - Remastered,Judee Sill,Heart Food,https://i.scdn.co/image/ab67616d0000b273934df05d20ddf27141d586a1,5248GQLJjBofZRaSocbdix,spotify:track:5248GQLJjBofZRaSocbdix
audio/Thundercat - Drunk.mp3,Thundercat - Drunk,4.271879888435334,1.4963678744979636,5.165169986317069,7.456291728395,7.79496126243391,45.08069888876868,61.345801898804865,62.89277292525253,1.0,2.4451183161768957,0.9564507980800248,0.0220916599762935,46.6432532787323,,7.763190746307373,0.7352892287844096,0.9597661091750856,1878.8755530014755,3869.13617351182,2165.197322496251,0.0129578514024615,0.2038416266441345,0.5488108720271676,4,E,0,0.0362285909072897,0.8809703433922997,3.2388137356919877,99.09833526611328,0.2144265472888946,1,Drunk,Thundercat,Drunk,https://i.scdn.co/image/ab67616d0000b27385c5e6c686ced3e43bae2748,1x020VQXsczFf07uJflEWp,spotify:track:1x020VQXsczFf07uJflEWp
audio/Ralph Towner - Icarus.mp3,Ralph Towner - Icarus,4.879398743885511,6.020853619929546,5.3055835779146046,3.7344943617029127,3.265141604932986,44.456413221386505,60.59706797345055,45.808979554490385,1.0,5.637013039506552,0.6180384924050801,0.2012548840312703,24.323975753784175,,3.295768976211548,0.2299711789526472,0.9518731687554058,1599.8357936119576,3406.3614392241248,1894.9826460490751,0.0223669819533824,0.0964027866721153,0.6173397690474698,2,D,1,0.1019816294863391,0.5157437012946845,3.7129837447652823,22.719926834106445,0.0859798640012741,0,Icarus,Ralph Towner,Diary,https://i.scdn.co/image/ab67616d0000b2736f2e8b10607a67cf4373b2ac,1fn8cJBIXD3X0l6OeYL01o,spotify:track:1fn8cJBIXD3X0l6OeYL01o
audio/Drop Nineteens - Kick The Tragedy.mp3,Drop Nineteens - Kick The Tragedy,3.2093179419114106,4.143625564600223,3.4932926497615973,6.687741655244569,4.7605499371745505,44.56304204788913,65.507879293684,65.99022652186926,1.0,9.064269529101042,0.7535948749045361,0.123293465825595,20.50263285636902,,3.2280712127685547,0.8550003549230599,0.9741389033490176,2204.0217605796615,4633.531463156388,2305.726399121051,0.0092327017337083,0.0754820480942726,0.8231390204144966,10,A#,1,0.0919619186210797,0.7734509215928083,2.2347627948799333,37.29490661621094,0.1481437236070633,1,Kick The Tragedy,Drop Nineteens,Delaware,https://i.scdn.co/image/ab67616d0000b273327dd408e63cfe266e5186b2,40ABtf917Ghhi2tkQDNOdn,spotify:track:40ABtf917Ghhi2tkQDNOdn
audio/Frank Ocean - Nights.mp3,Frank Ocean - Nights,3.5698584789015024,8.177261408995257,5.1631951945228405,5.34005637795787,3.870588330592061,42.07070622058687,63.093294068572995,54.83734454618869,1.0,5.483703487705553,0.4451870137960822,0.2780064426348542,19.998783111572266,,4.382452011108398,0.5806950617122922,0.9480074613433908,1880.4035300176831,4030.0490805888103,2182.6380768354265,0.0080407643690705,0.0943784713745117,0.487640789175293,5,F,0,0.0276756356495158,0.85966070290342,2.3864281161367997,56.55678176879883,0.1582358330488205,0,Nights,Frank Ocean,Blonde,https://i.scdn.co/image/ab67616d0000b273c5649add07ed3720be9d5526,7eqoqGkKwgOaWNNHx90uEZ,spotify:track:7eqoqGkKwgOaWNNHx90uEZ
audio/Fennesz - Caecilia.mp3,Fennesz - Caecilia,7.946471862407786,9.010880384394405,7.2948666338354835,6.69057253972897,3.9221844168992415,54.67283061283819,55.29833145856346,65.1539522572778,1.0,5.980201338622616,0.3817665698872936,0.3102175550367681,32.32501029968261,,2.063698053359986,0.6495584555892857,0.94760735358422,1259.2423064748823,2796.953885639133,1623.0488050711472,0.0484969802200794,0.1397445499897003,0.3564883239728016,4,E,1,0.2691282231448189,0.5686056844524221,1.2264053445326335,28.53681182861328,0.1100174039602279,0,Caecilia,Fennesz,Endless Summer,https://i.scdn.co/image/ab67616d0000b27350bb20bb2b20606ed918d652,7BMmOgvx42D7Xn3K9wivSH,spotify:track:7BMmOgvx42D7Xn3K9wivSH
audio/Youll Never Get to Heaven - Setting Sun.mp3,Youll Never Get to Heaven - Setting Sun,9.698566832052911,3.2823848705332535,5.919249977101984,3.615249571693667,4.228761286671165,56.26338432164145,50.60782242900482,55.796433889237626,1.0,3.847259424645328,0.8209396640075546,0.0913772180955867,20.84116187095642,,2.963583707809448,0.4372011432135989,0.958179615295864,805.6342812902886,1406.719942182024,1056.0555690102146,0.0132663659751415,0.1810570210218429,0.1927570093457919,6,F#,0,0.0252799651824551,0.868539758740512,2.9965262627064218,48.937767028808594,0.1952195614576339,0,Setting Sun,You'll Never Get to Heaven,Wave Your Moonlight Hat For The Snowfall Train,https://i.scdn.co/image/ab67616d0000b2734ce5c493f13bfb11a6b9a98c,2D1rYPinUnikGU9xNWylnN,spotify:track:2D1rYPinUnikGU9xNWylnN
audio/Som Imaginário - Som Imaginário.mp3,Som Imaginário - Som Imaginário,6.317926413535178,1.1600722313173064,3.830404872171809,3.7649104310900823,2.330839370499656,48.43758580424212,59.01477564915299,45.24007621758102,1.0,6.661337613525134,0.983467132183966,0.0101668306310159,13.83706932067871,,2.8280653953552246,0.1976908849985559,0.933767047590047,1469.042571354014,2570.5948160144935,1630.0740750694663,0.0055326111614704,0.1039072722196579,0.3230100703545294,11,B,0,0.030560490745072,0.8464173626955466,1.8566945078218624,80.22563171386719,0.2068322747945785,0,Som Imaginário,Som Imaginário,Som Imaginário,https://f4.bcbits.com/img/a3967621445_10.jpg,,
audio/Tram - You Can Go Now If You Want.mp3,Tram - You Can Go Now If You Want,9.382120629180056,1.7697549879309549,5.11105703722982,3.7437950227750534,5.158081098519698,53.133055229128345,49.45381192483382,59.18256999806047,1.0,7.610290557651081,0.9352856519550532,0.0323816647739673,12.41645574569702,,3.681944131851196,0.5559794991963659,0.965754821167252,713.3323224219987,1127.923397461591,1147.15107025869,0.0025146319530904,0.1414413601160049,0.654249386571485,5,F,1,0.1883866133091538,0.8427579999808994,2.257733939665663,47.71910858154297,0.1973026990890503,0,You Can Go Now (If You Want),Tram,Heavy Black Frame,https://i.scdn.co/image/ab67616d0000b273b8b57e69044c91b7ee7f903b,0oyXaOPjzk2TN12Tk8cjus,spotify:track:0oyXaOPjzk2TN12Tk8cjus
